98922941 function calls (84103311 primitive calls) in 94.514 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1755    0.064    0.000    0.064    0.000 {method 'item' of 'torch._C.TensorBase' objects}
    69894    0.064    0.000    0.082    0.000 weakref.py:452(get)
    13959    0.064    0.000    0.130    0.000 __init__.py:132(check_shape)
    20008    0.064    0.000    0.150    0.000 lines.py:1275(set_xdata)
8309/8165    0.064    0.000    0.106    0.000 transforms.py:368(bounds)
   102185    0.064    0.000    0.193    0.000 abc.py:117(__instancecheck__)
   228292    0.064    0.000    0.064    0.000 copy.py:210(<listcomp>)
  868/722    0.064    0.000    0.941    0.001 _base.py:2877(autoscale_view)
    13046    0.064    0.000    0.264    0.000 _base.py:839(<dictcomp>)
    32781    0.063    0.000    0.142    0.000 tile.py:60(get_city_sides)
   137131    0.063    0.000    0.063    0.000 {built-in method builtins.iter}
   102191    0.063    0.000    0.678    0.000 {built-in method builtins.setattr}
    63351    0.061    0.000    0.101    0.000 figure.py:65(_stale_figure_callback)
      432    0.061    0.000    0.061    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
    43252    0.060    0.000    0.197    0.000 contextlib.py:261(helper)
     4895    0.058    0.000    0.066    0.000 threading.py:1388(enumerate)
    40110    0.058    0.000    0.092    0.000 {built-in method builtins.sorted}
    15055    0.058    0.000    0.082    0.000 lines.py:33(_get_dash_pattern)
51840/25920    0.058    0.000    0.072    0.000 transforms.py:2416(<lambda>)
    13959    0.057    0.000    0.137    0.000 path.py:202(_update_values)
     5904    0.056    0.000    0.161    0.000 backend_bases.py:711(__init__)
     1633    0.055    0.000    0.820    0.001 points_collector.py:26(remove_meeples_and_collect_points)
21491/21347    0.055    0.000    0.208    0.000 transforms.py:1859(transform_affine)
     6156    0.055    0.000    0.119    0.000 meeple_util.py:11(position_contains_meeple)
8754/4724    0.054    0.000    2.674    0.001 spines.py:339(get_spine_transform)
     2032    0.054    0.000    0.649    0.000 axis.py:1215(_set_lim)
    12011    0.053    0.000    0.077    0.000 font_manager.py:821(set_size)
43252/42097    0.053    0.000    0.756    0.000 contextlib.py:114(__enter__)
    15021    0.052    0.000    2.077    0.000 patches.py:306(get_transform)
       79    0.052    0.001    0.052    0.001 {method 'cpu' of 'torch._C.TensorBase' objects}
    14907    0.052    0.000    0.130    0.000 patches.py:782(_convert_units)
    39265    0.051    0.000    0.106    0.000 cbook.py:1390(_to_unmasked_float_array)
43632/34858    0.051    0.000    0.357    0.000 transforms.py:2394(__eq__)
      288    0.050    0.000    0.076    0.000 contour.py:1085(<listcomp>)
1736/1444    0.050    0.000    0.775    0.001 _base.py:2936(handle_single_axis)
    18407    0.050    0.000    1.375    0.000 markers.py:220(__init__)
     3168    0.050    0.000    0.071    0.000 _stride_tricks_impl.py:349(_broadcast_to)
